year,MSW_Q05raw,MSW_Q25raw,MSW_Q50raw,MSW_Q75raw,MSW_Q95raw,1SW_Q05raw,1SW_Q25raw,1SW_Q50raw,1SW_Q75raw,1SW_Q95raw,northern_mnwinlen,northern_mnwinsrt,northern_mnwinend,northern_mnsumlen,northern_mnsumsrt,northern_mnsumend,southern_mnwinlen,southern_mnwinsrt,southern_mnwinend,southern_mnsumlen,southern_mnsumsrt,southern_mnsumend,meanyearflow,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,meanwinterflow,meanspringflow,meansummerflow,meanfallflow,Q05,Q10,Q15,Q20,Q25,Q30,Q35,Q40,Q45,Q50,Q55,Q60,Q65,Q70,Q75,Q80,Q85,Q90,Q95,djf,mam,jja,son,january,february,march,april,may,june,july,august,september,october,november,december,rivsumsrt,rivsumend,rivsumlen,northern_mnsumlen_lag,wscv,sprinfl
2003,152,165,172,177,240,170,177,196,205,262,133,-0.6554903604358759,131.65297569153395,90,199.476948868399,289.3059513830679,120,7.611111111111111,127.53015873015872,79,201.32380952380953,280.15396825396823,12718.635616438356,4573.354838709677,3273.809523809524,7474.989247311828,26954.888888888887,16910.494623655915,9483.488888888887,4641.462365591397,6628,5624.777777777777,18102.90322580645,23379.777777777777,25131.612903225807,5168.503703703704,17773.36996336996,5631.485507246377,22191.992753623188,59,90,102,111,117,124,134,157,183,225,268,288,300,307,317,328,339,351,358,0.260694450095851,6.308947850655832,22.676961522862538,12.128325354048629,0,0,2.019383477651955,5.078239457872197,11.78952034570839,20.170555555555556,24.86021505376344,22.919262153871603,20.034361673990887,11.927971189765524,4.429321670532246,0.7568548551169868,172,236,65,64,110,71
2004,146,162,171,186,229,165,177,187,194,220,118,14.38558256496228,132.2539815590947,80,197.95557418273265,277.9153394803018,114,11.046031746031746,124.96031746031746,54,207.1888888888889,260.9920634920635,9539.857923497268,12085.935483870968,6340,7775.1612903225805,20303.2,10239.89247311828,5972,5528.344086021505,8487.118279569893,9310.4,6110.645161290323,7975.622222222222,14317.78494623656,8786.307692307691,12150.468864468863,7758.601449275362,9484.239130434782,9,28,54,82,96,104,111,121,134,155,186,217,236,255,274,303,331,340,353,0.17664839915740388,7.126736206578716,20.95034451692001,10.850581254784451,0.04577957481466448,0,1.5909288878082142,6.4217503854503075,13.344787868376711,18.416666666666668,22.208602150537633,22.14403318999916,17.67561275058323,11.574052965717938,3.2779623243544034,0.4727689517441663,189,240,47,90,95,77
2005,157,161,167,176,217,165,176,186,192,245,117,0.10813076278290026,117.07879295892708,83,192.7728415758592,276.03017602682314,107,12.371428571428572,119.04920634920634,71,205.1015873015873,275.8809523809524,19769.73881278539,9259.354838709678,6781.928571428572,9157.63440860215,43355.04444444445,34200,15338.8,7976.365591397849,7189.569892473119,10415.733333333334,33275.913978494624,35604.666666666664,24251.913978494624,8453.562962962962,31000.1684981685,8506.695652173914,30994.594202898552,43,89,99,108,116,122,129,143,157,185,234,270,287,296,305,318,328,335,343,0.24131945292155277,5.7650973192009625,22.20024541495503,11.59413532354894,0.1400538044591126,0.14441967010498452,0.910606827274456,6.693055435770401,9.721563827350597,19.697583787706165,24,22.822421436925097,19.266666666666666,10.57271352788455,4.977073169284415,0.4301074858634739,177,235,59,80,111,66
2006,142,153,167,173,221,155,169,176,185,233,88,18.574182732606875,106.73260687342834,99,184.12321877619448,282.8189438390612,85,29.603174603174605,114.93650793650794,69,200.1015873015873,268.51428571428573,16343.424657534246,24785.075268817203,17031.166666666668,10991.849462365592,18182.17777777778,23592.301075268817,21277.6,10316.967741935485,7198.709677419355,5948.066666666667,14910.021505376344,28470.88888888889,13757.182795698924,17621.748148148148,21045.65567765568,7841.608695652174,18943.58695652174,16,25,37,55,83,102,118,135,144,157,168,187,219,266,296,308,320,328,342,0.8557134670681503,7.60785017055616,21.93081996475441,11.784616696424107,0.7267073354413469,0.42031275431315657,2.1040469508017425,7.04925270633423,13.65223158149309,19.573333333333338,24.473118279569892,21.66996032550771,18.376666666666665,10.503346485425071,6.516545944213887,1.37798475860269,172,229,58,83,78,66
2007,150,162,170,186,249,170,186,199,225,263,115,10.960603520536464,125.96144174350376,79,195.9991617770327,275.17183570829843,104,24.966666666666665,129.4920634920635,61,206.38571428571427,267.3063492063492,12978.991780821918,11988.58064516129,7442.238095238095,11972.537634408602,31220.222222222223,31075.2688172043,8922.288888888888,5198.1505376344085,4467.741935483871,4547.022222222222,6279.290322580645,21130.222222222223,11417.032258064515,10568.637037037037,23819.875457875456,4739.710144927536,12853.18115942029,18,44,76,90,105,112,116,121,126,133,141,151,175,220,273,308,320,329,343,0.2237871410228613,5.897551600378732,22.059782608695652,12.075824175824176,0.7227019279233929,0,1.085200812940354,4.434226116604297,12.126023823727852,20.066666666666663,22.951612903225808,23.096774193548388,18.783333333333335,13.63225806451613,3.76,-0.0729973249537957,172,241,70,99,112,92
2008,145,158,166,174,189,163,173,178,187,228,132,-2.7057837384744343,129.3671416596815,94,189.314333612741,283.2506286672255,119,3.5365079365079364,123.0063492063492,66,196.42857142857144,262.1,16622.054644808744,11647.290322580646,9848.620689655172,13754.258064516129,40679.13333333333,31433.93548387097,11559.4,9777.78494623656,13250.451612903224,7437.733333333334,12138.58064516129,19667.86666666667,18247.31182795699,11791.846153846154,27929.75824175824,10184.86231884058,16652.159420289856,26,57,79,100,109,115,119,124,128,136,160,185,216,236,275,302,319,333,349,0.00219780219780219,5.20004527879798,21.52173913043478,11.24175824175824,-0.1,-0.09655172413793103,0.09045695643271244,3.443333333333334,12.00967741935484,19.27777777777778,24.102150537634408,21.112903225806452,18.123333333333335,10.870967741935484,4.743333333333333,0.1967741935483871,182,219,38,79,111,96
2009,145,158,168,179,193,170,178,188,194,209,113,17.179379715004192,129.58927074601843,75,188.883487007544,264.40821458507963,107,13.812698412698412,121.0079365079365,57,198.17777777777775,254.61111111111111,15224.730593607306,9921.41935483871,8723.97619047619,12635.032258064515,42037.4,17179.956989247312,14812.488888888887,18100.10752688172,12568.150537634408,5889.2,9890.494623655914,15639.311111111112,15233.978494623656,10483.570370370371,24594.234432234432,12254.260869565218,13565.630434782608,28,60,85,95,100,106,113,121,133,157,177,187,204,220,249,289,315,331,343,0.20222222222222225,6.393478260869565,20.80072463768116,11.042857142857144,-0.1,-0.08571428571428572,0.05483870967741935,5.176666666666667,13.90967741935484,18.238888888888887,20.612903225806452,23.467741935483872,18,9.680645161290322,5.493333333333333,0.7645161290322581,204,243,40,94,100,87
2010,126,145,157,164,185,155,161,166,182,213,112,4.682313495389773,116.83570829840738,73,197.95138306789607,270.7979882648785,90,17.77777777777778,108.26349206349208,79,191.3507936507937,270.2952380952381,14625.10502283105,12252.731182795698,12082.666666666666,22183.032258064515,27823.333333333332,8658.731182795698,9009.4,5518.193548387097,4296.451612903225,6364.777777777777,12921.032258064515,23098.044444444444,31298.279569892475,15620.25925925926,15092.336996336997,5382.579710144928,22431.956521739132,25,42,65,81,89,95,102,113,136,166,209,264,289,308,318,329,342,348,354,0.17222222222222222,8.807608695652174,22.902173913043477,11.61098901098901,0,0.10357142857142858,2.2516129032258063,8.8,15.370967741935484,20.3,25.016129032258064,23.306451612903224,19.15,11.329032258064515,4.363333333333333,0.4064516129032258,171,251,81,75,87,65
2011,150,158,164,174,217,154,164,172,179,222,68,46.48952221290863,113.60854987426656,74,200.08549874266555,273.9949706621961,80,34.263492063492066,114.23809523809524,60,214.06349206349208,273.8984126984127,16141.466666666667,10151.78494623656,7086.547619047619,20146.60215053763,35188.444444444445,37406.23655913978,12313.8,5593.935483870968,9601.849462365592,21211.71111111111,13523.032258064515,9048.488888888887,11974.58064516129,12640.814814814816,28402.864468864467,12037.18115942029,11542.18115942029,29,66,79,93,104,111,117,124,131,138,147,162,198,240,251,265,286,310,341,0.48666666666666664,5.456078029024429,22.247282608695652,12.371268328991563,-0.0903225806451613,-0.07857142857142857,0.16451612903225807,4.875305955674914,11.30967741935484,19.31388888888889,24.446236559139784,22.887096774193548,18.666666666666668,12.64516129032258,5.792847264607749,1.5741935483870968,181,239,59,73,109,83
2012,131,144,152,163,186,158,167,170,190,271,91,20.48197820620285,111.46689019279128,109,183.17686504610225,291.9622799664711,57,42.111111111111114,99.17460317460318,97,189.35396825396825,285.93174603174606,12751.149362477232,8797.09677419355,6841.471264367816,17983.397849462366,17040.11111111111,18480.40860215054,16613.244444444445,11466.537634408602,5052.344086021505,6033.7555555555555,16322.10752688172,16845.422222222223,11334.94623655914,11303.274725274723,17390.03663003663,7533.673913043478,14812.297101449276,26,60,79,88,101,116,125,136,151,172,181,190,228,270,290,302,312,325,347,0.11428571428571428,8.070652173913043,22.440217391304348,11.738461538461538,0.0032258064516129,0.03793103448275862,1.2838709677419355,8.673333333333334,14.274193548387096,18.866666666666667,23.919354838709676,24.419354838709676,18.55,11.76774193548387,4.8966666666666665,0.2967741935483871,186,247,62,74,93,72
2013,132,156,162,171,189,157,168,174,178,189,92,18.030176026823135,110.3528918692372,89,194.16596814752725,282.55490360435874,74,35.661904761904765,110.33492063492064,91,189.87777777777777,280.9174603174603,13949.629223744292,9884.94623655914,11279.09523809524,12981.591397849465,23475.11111111111,18157.84946236559,25284.666666666668,13443.333333333334,11412.90322580645,13371.333333333334,7709.720430107527,9505.31111111111,11142.150537634408,11385.303703703705,22260.29304029304,12735.688405797102,9451.81884057971,27,47,73,90,103,113,123,143,151,160,169,182,200,220,243,262,285,319,340,0.1465972109194163,6.890729268391927,21.582608695652173,11.623076923076924,0.1615859493132575,-0.0148362659272684,0.535483870967742,5.794903089735243,14.306451612903226,18.6,23.822580645161292,22.229032258064517,18.033333333333335,12.974193548387095,3.816666666666667,0.27741935483870966,182,244,63,109,97,81
